X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.7834,40.32132,0,0,238,,,,,TP239,,,,,,,,,,,,,,,,,,
-3.78341,40.32133,0,0,239,,,,,TP240,,,,,,,,,,,,,,,,,,
-3.78348,40.32136,0,0,240,,,,,TP241,,,,,,,,,,,,,,,,,,
-3.78355,40.32139,0,0,241,,,,,TP242,,,,,,,,,,,,,,,,,,
-3.78361,40.32142,0,0,242,,,,,TP243,,,,,,,,,,,,,,,,,,
-3.7836069,40.321419,0,0,243,,,,,TP244,,,,,,,,,,,,,,,,,,
-3.78358,40.32136,0,0,244,,,,,TP245,,,,,,,,,,,,,,,,,,
-3.78357,40.32132,0,0,245,,,,,TP246,,,,,,,,,,,,,,,,,,
-3.78355,40.32128,0,0,246,,,,,TP247,,,,,,,,,,,,,,,,,,
-3.78355,40.32126,0,0,247,,,,,TP248,,,,,,,,,,,,,,,,,,
-3.78354,40.32122,0,0,248,,,,,TP249,,,,,,,,,,,,,,,,,,
-3.78359,40.32112,0,0,249,,,,,TP250,,,,,,,,,,,,,,,,,,
-3.7835861,40.3211229,0,0,250,,,,,TP251,,,,,,,,,,,,,,,,,,
-3.78361,40.32114,0,0,251,,,,,TP252,,,,,,,,,,,,,,,,,,
-3.78371,40.3212,0,0,252,,,,,TP253,,,,,,,,,,,,,,,,,,
-3.7837061,40.3211968,0,0,253,,,,,TP254,,,,,,,,,,,,,,,,,,
-3.78373,40.32118,0,0,254,,,,,TP255,,,,,,,,,,,,,,,,,,
-3.78374,40.32118,0,0,255,,,,,TP256,,,,,,,,,,,,,,,,,,
-3.78375,40.32117,0,0,256,,,,,TP257,,,,,,,,,,,,,,,,,,
-3.78376,40.32117,0,0,257,,,,,TP258,,,,,,,,,,,,,,,,,,
-3.78377,40.32117,0,0,258,,,,,TP259,,,,,,,,,,,,,,,,,,
-3.78378,40.32117,0,0,259,,,,,TP260,,,,,,,,,,,,,,,,,,
-3.78379,40.32116,0,0,260,,,,,TP261,,,,,,,,,,,,,,,,,,
-3.7838,40.32116,0,0,261,,,,,TP262,,,,,,,,,,,,,,,,,,
-3.78381,40.32116,0,0,262,,,,,TP263,,,,,,,,,,,,,,,,,,
-3.78382,40.32116,0,0,263,,,,,TP264,,,,,,,,,,,,,,,,,,
-3.78383,40.32116,0,0,264,,,,,TP265,,,,,,,,,,,,,,,,,,
-3.78384,40.32116,0,0,265,,,,,TP266,,,,,,,,,,,,,,,,,,
